Resultado BP-6 com Inicial WFD
Bins Usados: 201
Perda: 1.70%

Bin 1 (147/150): [100, 47]
Bin 2 (147/150): [100, 47]
Bin 3 (147/150): [100, 47]
Bin 4 (147/150): [100, 47]
Bin 5 (147/150): [100, 47]
Bin 6 (147/150): [100, 47]
Bin 7 (147/150): [99, 48]
Bin 8 (147/150): [99, 48]
Bin 9 (147/150): [99, 48]
Bin 10 (148/150): [98, 50]
Bin 11 (147/150): [98, 49]
Bin 12 (147/150): [98, 49]
Bin 13 (147/150): [98, 49]
Bin 14 (147/150): [98, 49]
Bin 15 (147/150): [98, 49]
Bin 16 (147/150): [98, 49]
Bin 17 (146/150): [98, 48]
Bin 18 (146/150): [98, 48]
Bin 19 (146/150): [98, 48]
Bin 20 (150/150): [97, 53]
Bin 21 (149/150): [97, 52]
Bin 22 (149/150): [97, 52]
Bin 23 (149/150): [97, 52]
Bin 24 (148/150): [97, 51]
Bin 25 (148/150): [97, 51]
Bin 26 (147/150): [97, 50]
Bin 27 (147/150): [97, 50]
Bin 28 (147/150): [97, 50]
Bin 29 (149/150): [96, 53]
Bin 30 (149/150): [96, 53]
Bin 31 (149/150): [96, 53]
Bin 32 (149/150): [96, 53]
Bin 33 (149/150): [96, 53]
Bin 34 (149/150): [96, 53]
Bin 35 (150/150): [95, 55]
Bin 36 (150/150): [95, 55]
Bin 37 (149/150): [95, 54]
Bin 38 (149/150): [95, 54]
Bin 39 (149/150): [95, 54]
Bin 40 (148/150): [95, 53]
Bin 41 (148/150): [95, 53]
Bin 42 (150/150): [94, 56]
Bin 43 (149/150): [94, 55]
Bin 44 (149/150): [94, 55]
Bin 45 (149/150): [94, 55]
Bin 46 (150/150): [93, 57]
Bin 47 (149/150): [93, 56]
Bin 48 (149/150): [92, 57]
Bin 49 (149/150): [92, 57]
Bin 50 (149/150): [92, 57]
Bin 51 (149/150): [92, 57]
Bin 52 (149/150): [92, 57]
Bin 53 (149/150): [92, 57]
Bin 54 (149/150): [91, 58]
Bin 55 (149/150): [91, 58]
Bin 56 (149/150): [91, 58]
Bin 57 (149/150): [91, 58]
Bin 58 (148/150): [91, 57]
Bin 59 (148/150): [91, 57]
Bin 60 (148/150): [91, 57]
Bin 61 (150/150): [90, 60]
Bin 62 (150/150): [90, 60]
Bin 63 (149/150): [90, 59]
Bin 64 (149/150): [90, 59]
Bin 65 (149/150): [90, 59]
Bin 66 (149/150): [90, 59]
Bin 67 (149/150): [90, 59]
Bin 68 (148/150): [90, 58]
Bin 69 (148/150): [90, 58]
Bin 70 (149/150): [89, 60]
Bin 71 (149/150): [89, 60]
Bin 72 (148/150): [88, 60]
Bin 73 (148/150): [88, 60]
Bin 74 (148/150): [88, 60]
Bin 75 (148/150): [88, 60]
Bin 76 (148/150): [87, 61]
Bin 77 (148/150): [87, 61]
Bin 78 (148/150): [87, 61]
Bin 79 (148/150): [86, 62]
Bin 80 (148/150): [86, 62]
Bin 81 (147/150): [86, 61]
Bin 82 (147/150): [86, 61]
Bin 83 (148/150): [85, 63]
Bin 84 (147/150): [85, 62]
Bin 85 (147/150): [85, 62]
Bin 86 (147/150): [85, 62]
Bin 87 (147/150): [85, 62]
Bin 88 (149/150): [84, 65]
Bin 89 (149/150): [84, 65]
Bin 90 (149/150): [84, 65]
Bin 91 (148/150): [84, 64]
Bin 92 (148/150): [84, 64]
Bin 93 (148/150): [84, 64]
Bin 94 (148/150): [84, 64]
Bin 95 (148/150): [84, 64]
Bin 96 (148/150): [84, 64]
Bin 97 (148/150): [84, 64]
Bin 98 (147/150): [84, 63]
Bin 99 (147/150): [84, 63]
Bin 100 (149/150): [83, 66]
Bin 101 (149/150): [83, 66]
Bin 102 (149/150): [83, 66]
Bin 103 (148/150): [83, 65]
Bin 104 (149/150): [82, 67]
Bin 105 (148/150): [82, 66]
Bin 106 (148/150): [82, 66]
Bin 107 (148/150): [82, 66]
Bin 108 (148/150): [82, 66]
Bin 109 (148/150): [81, 67]
Bin 110 (148/150): [81, 67]
Bin 111 (148/150): [81, 67]
Bin 112 (148/150): [81, 67]
Bin 113 (148/150): [81, 67]
Bin 114 (148/150): [81, 67]
Bin 115 (148/150): [81, 67]
Bin 116 (150/150): [80, 70]
Bin 117 (150/150): [80, 70]
Bin 118 (149/150): [80, 69]
Bin 119 (149/150): [80, 69]
Bin 120 (149/150): [80, 69]
Bin 121 (149/150): [80, 69]
Bin 122 (149/150): [80, 69]
Bin 123 (148/150): [80, 68]
Bin 124 (148/150): [80, 68]
Bin 125 (148/150): [80, 68]
Bin 126 (148/150): [80, 68]
Bin 127 (147/150): [80, 67]
Bin 128 (147/150): [80, 67]
Bin 129 (150/150): [79, 71]
Bin 130 (149/150): [79, 70]
Bin 131 (149/150): [79, 70]
Bin 132 (149/150): [79, 70]
Bin 133 (149/150): [79, 70]
Bin 134 (149/150): [79, 70]
Bin 135 (149/150): [79, 70]
