Resultado BP-6 com Inicial LFD
Bins Usados: 201
Perda: 1.70%

Bin 1 (147/150): [100, 47]
Bin 2 (147/150): [100, 47]
Bin 3 (147/150): [100, 47]
Bin 4 (147/150): [100, 47]
Bin 5 (147/150): [100, 47]
Bin 6 (147/150): [100, 47]
Bin 7 (147/150): [99, 48]
Bin 8 (147/150): [99, 48]
Bin 9 (147/150): [99, 48]
Bin 10 (146/150): [98, 48]
Bin 11 (146/150): [98, 48]
Bin 12 (146/150): [98, 48]
Bin 13 (147/150): [98, 49]
Bin 14 (147/150): [98, 49]
Bin 15 (147/150): [98, 49]
Bin 16 (147/150): [98, 49]
Bin 17 (147/150): [98, 49]
Bin 18 (147/150): [98, 49]
Bin 19 (148/150): [98, 50]
Bin 20 (147/150): [97, 50]
Bin 21 (147/150): [97, 50]
Bin 22 (147/150): [97, 50]
Bin 23 (148/150): [97, 51]
Bin 24 (148/150): [97, 51]
Bin 25 (149/150): [97, 52]
Bin 26 (149/150): [97, 52]
Bin 27 (149/150): [97, 52]
Bin 28 (150/150): [97, 53]
Bin 29 (149/150): [96, 53]
Bin 30 (149/150): [96, 53]
Bin 31 (149/150): [96, 53]
Bin 32 (149/150): [96, 53]
Bin 33 (149/150): [96, 53]
Bin 34 (149/150): [96, 53]
Bin 35 (148/150): [95, 53]
Bin 36 (148/150): [95, 53]
Bin 37 (149/150): [95, 54]
Bin 38 (149/150): [95, 54]
Bin 39 (149/150): [95, 54]
Bin 40 (150/150): [95, 55]
Bin 41 (150/150): [95, 55]
Bin 42 (149/150): [94, 55]
Bin 43 (149/150): [94, 55]
Bin 44 (149/150): [94, 55]
Bin 45 (150/150): [94, 56]
Bin 46 (149/150): [93, 56]
Bin 47 (150/150): [93, 57]
Bin 48 (149/150): [92, 57]
Bin 49 (149/150): [92, 57]
Bin 50 (149/150): [92, 57]
Bin 51 (149/150): [92, 57]
Bin 52 (149/150): [92, 57]
Bin 53 (149/150): [92, 57]
Bin 54 (148/150): [91, 57]
Bin 55 (148/150): [91, 57]
Bin 56 (148/150): [91, 57]
Bin 57 (149/150): [91, 58]
Bin 58 (149/150): [91, 58]
Bin 59 (149/150): [91, 58]
Bin 60 (149/150): [91, 58]
Bin 61 (148/150): [90, 58]
Bin 62 (148/150): [90, 58]
Bin 63 (149/150): [90, 59]
Bin 64 (149/150): [90, 59]
Bin 65 (149/150): [90, 59]
Bin 66 (149/150): [90, 59]
Bin 67 (149/150): [90, 59]
Bin 68 (150/150): [90, 60]
Bin 69 (150/150): [90, 60]
Bin 70 (149/150): [89, 60]
Bin 71 (149/150): [89, 60]
Bin 72 (148/150): [88, 60]
Bin 73 (148/150): [88, 60]
Bin 74 (148/150): [88, 60]
Bin 75 (148/150): [88, 60]
Bin 76 (148/150): [87, 61]
Bin 77 (148/150): [87, 61]
Bin 78 (148/150): [87, 61]
Bin 79 (147/150): [86, 61]
Bin 80 (147/150): [86, 61]
Bin 81 (148/150): [86, 62]
Bin 82 (148/150): [86, 62]
Bin 83 (147/150): [85, 62]
Bin 84 (147/150): [85, 62]
Bin 85 (147/150): [85, 62]
Bin 86 (147/150): [85, 62]
Bin 87 (148/150): [85, 63]
Bin 88 (147/150): [84, 63]
Bin 89 (147/150): [84, 63]
Bin 90 (148/150): [84, 64]
Bin 91 (148/150): [84, 64]
Bin 92 (148/150): [84, 64]
Bin 93 (148/150): [84, 64]
Bin 94 (148/150): [84, 64]
Bin 95 (148/150): [84, 64]
Bin 96 (148/150): [84, 64]
Bin 97 (149/150): [84, 65]
Bin 98 (149/150): [84, 65]
Bin 99 (149/150): [84, 65]
Bin 100 (148/150): [83, 65]
Bin 101 (149/150): [83, 66]
Bin 102 (149/150): [83, 66]
Bin 103 (149/150): [83, 66]
Bin 104 (148/150): [82, 66]
Bin 105 (148/150): [82, 66]
Bin 106 (148/150): [82, 66]
Bin 107 (148/150): [82, 66]
Bin 108 (149/150): [82, 67]
Bin 109 (148/150): [81, 67]
Bin 110 (148/150): [81, 67]
Bin 111 (148/150): [81, 67]
Bin 112 (148/150): [81, 67]
Bin 113 (148/150): [81, 67]
Bin 114 (148/150): [81, 67]
Bin 115 (148/150): [81, 67]
Bin 116 (147/150): [80, 67]
Bin 117 (147/150): [80, 67]
Bin 118 (148/150): [80, 68]
Bin 119 (148/150): [80, 68]
Bin 120 (148/150): [80, 68]
Bin 121 (148/150): [80, 68]
Bin 122 (149/150): [80, 69]
Bin 123 (149/150): [80, 69]
Bin 124 (149/150): [80, 69]
Bin 125 (149/150): [80, 69]
Bin 126 (149/150): [80, 69]
Bin 127 (150/150): [80, 70]
Bin 128 (150/150): [80, 70]
Bin 129 (149/150): [79, 70]
Bin 130 (149/150): [79, 70]
Bin 131 (149/150): [79, 70]
Bin 132 (149/150): [79, 70]
Bin 133 (149/150): [79, 70]
Bin 134 (149/150): [79, 70]
Bin 135 (149/150): [79, 70]
