Melhor Distribuição para BP-6:
Total de Bins Usados: 201
Perda Percentual: 1.70%

Bin 1 (Soma: 150/150): [100, 50]
Bin 2 (Soma: 150/150): [100, 50]
Bin 3 (Soma: 150/150): [100, 50]
Bin 4 (Soma: 150/150): [100, 50]
Bin 5 (Soma: 149/150): [100, 49]
Bin 6 (Soma: 149/150): [100, 49]
Bin 7 (Soma: 150/150): [99, 51]
Bin 8 (Soma: 150/150): [99, 51]
Bin 9 (Soma: 148/150): [99, 49]
Bin 10 (Soma: 150/150): [98, 52]
Bin 11 (Soma: 150/150): [98, 52]
Bin 12 (Soma: 150/150): [98, 52]
Bin 13 (Soma: 147/150): [98, 49]
Bin 14 (Soma: 147/150): [98, 49]
Bin 15 (Soma: 147/150): [98, 49]
Bin 16 (Soma: 146/150): [98, 48]
Bin 17 (Soma: 146/150): [98, 48]
Bin 18 (Soma: 146/150): [98, 48]
Bin 19 (Soma: 146/150): [98, 48]
Bin 20 (Soma: 150/150): [97, 53]
Bin 21 (Soma: 150/150): [97, 53]
Bin 22 (Soma: 150/150): [97, 53]
Bin 23 (Soma: 150/150): [97, 53]
Bin 24 (Soma: 150/150): [97, 53]
Bin 25 (Soma: 150/150): [97, 53]
Bin 26 (Soma: 150/150): [97, 53]
Bin 27 (Soma: 150/150): [97, 53]
Bin 28 (Soma: 150/150): [97, 53]
Bin 29 (Soma: 150/150): [96, 54]
Bin 30 (Soma: 150/150): [96, 54]
Bin 31 (Soma: 150/150): [96, 54]
Bin 32 (Soma: 144/150): [96, 48]
Bin 33 (Soma: 144/150): [96, 48]
Bin 34 (Soma: 143/150): [96, 47]
Bin 35 (Soma: 150/150): [95, 55]
Bin 36 (Soma: 150/150): [95, 55]
Bin 37 (Soma: 150/150): [95, 55]
Bin 38 (Soma: 150/150): [95, 55]
Bin 39 (Soma: 150/150): [95, 55]
Bin 40 (Soma: 142/150): [95, 47]
Bin 41 (Soma: 142/150): [95, 47]
Bin 42 (Soma: 150/150): [94, 56]
Bin 43 (Soma: 150/150): [94, 56]
Bin 44 (Soma: 141/150): [94, 47]
Bin 45 (Soma: 141/150): [94, 47]
Bin 46 (Soma: 150/150): [93, 57]
Bin 47 (Soma: 150/150): [93, 57]
Bin 48 (Soma: 150/150): [92, 58]
Bin 49 (Soma: 150/150): [92, 58]
Bin 50 (Soma: 150/150): [92, 58]
Bin 51 (Soma: 150/150): [92, 58]
Bin 52 (Soma: 150/150): [92, 58]
Bin 53 (Soma: 150/150): [92, 58]
Bin 54 (Soma: 150/150): [91, 59]
Bin 55 (Soma: 150/150): [91, 59]
Bin 56 (Soma: 150/150): [91, 59]
Bin 57 (Soma: 150/150): [91, 59]
Bin 58 (Soma: 150/150): [91, 59]
Bin 59 (Soma: 148/150): [91, 57]
Bin 60 (Soma: 148/150): [91, 57]
Bin 61 (Soma: 150/150): [90, 60]
Bin 62 (Soma: 150/150): [90, 60]
Bin 63 (Soma: 150/150): [90, 60]
Bin 64 (Soma: 150/150): [90, 60]
Bin 65 (Soma: 150/150): [90, 60]
Bin 66 (Soma: 150/150): [90, 60]
Bin 67 (Soma: 150/150): [90, 60]
Bin 68 (Soma: 150/150): [90, 60]
Bin 69 (Soma: 147/150): [90, 57]
Bin 70 (Soma: 150/150): [89, 61]
Bin 71 (Soma: 150/150): [89, 61]
Bin 72 (Soma: 150/150): [88, 62]
Bin 73 (Soma: 150/150): [88, 62]
Bin 74 (Soma: 150/150): [88, 62]
Bin 75 (Soma: 150/150): [88, 62]
Bin 76 (Soma: 150/150): [87, 63]
Bin 77 (Soma: 150/150): [87, 63]
Bin 78 (Soma: 150/150): [87, 63]
Bin 79 (Soma: 150/150): [86, 64]
Bin 80 (Soma: 150/150): [86, 64]
